ID,商家名稱,省,地址,商家類型,設備類型,累計租借數,累計歸還數,入駐時間,点位,経度,緯度,週一營業時間,週二營業時間,週三營業時間,週四營業時間,週五營業時間,週六營業時間,週日營業時間,新商家類型(python 字典)(子榕),離捷運/火車站距離(抓api爬下來)(恩嘉),是否內用(有就當賺到),座位數(有就當賺到),"google, fb 評價(爬蟲)(恩嘉)",loc,mrt,mrt 中文,time
43173,全家便利商店(八里船頭店),新北市,新北市八里區渡船頭街１號,賣場與商店,3.0 Android 横屏5口,39,40,2020/12/11 14:54,显示,121.4347089,25.1584429,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.8,"(25.158442899999997, 121.43470890000002)",,,
43148,全家便利商店(五股芳洲店),新北市,新北市五股區芳洲一路38號,賣場與商店,3.0 Android 横屏5口,38,58,2020/12/11 14:53,显示,121.4441606,25.0856666,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.1,"(25.085666600000003, 121.44416059999999)",,,
43147,全家便利商店(五股新五店),新北市,新北市五股區新五路三段２５號,賣場與商店,3.0 Android 横屏5口,45,54,2020/12/11 14:52,显示,121.445546,25.0896545,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.4,"(25.0896545, 121.445546)",,,
43152,全家便利商店(五股五福店),新北市,新北市五股區五福里五福路２４號,賣場與商店,3.0 Android 横屏5口,31,45,2020/12/11 14:51,显示,121.434199,25.0888992,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.1,"(25.0888992, 121.43419899999999)",,,
43151,全家便利商店(五股登科店),新北市,新北市五股區登林路７６之９號１樓,賣場與商店,3.0 Android 横屏5口,29,35,2020/12/11 14:50,显示,121.4306663,25.0695458,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.8,"(25.0695458, 121.4306663)",,,
43150,全家便利商店(五股水碓店),新北市,新北市五股區成泰路一段７巷２１號,賣場與商店,3.0 Android 横屏5口,12,27,2020/12/11 14:49,显示,121.4323189,25.0670862,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,4.3,"(25.0670862, 121.4323189)",,,
43068,全家便利商店(新莊光明店),新北市,新北市新莊區民安西路１９２號,賣場與商店,3.0 Android 横屏5口,75,105,2020/12/10 19:23,显示,121.4258971,25.0155435,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2,"(25.0155435, 121.42589709999999)",,,
43045,全家便利商店(新莊安華店),新北市,新北市新莊區民安西路３２１號１樓＋２樓,賣場與商店,3.0 Android 横屏5口,29,49,2020/12/10 19:22,显示,121.4277351,25.0112132,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.7,"(25.011213199999997, 121.4277351)",,,
43046,全家便利商店(新莊通樹店),新北市,新北市新莊區新樹路２８８號１樓,賣場與商店,3.0 Android 横屏5口,22,23,2020/12/10 17:54,显示,121.4324974,25.0118563,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,5,"(25.011856299999998, 121.43249740000002)",,,
43069,全家便利商店(新莊城市店),新北市,新北市新莊區樹新路200號,賣場與商店,3.0 Android 横屏5口,19,33,2020/12/10 17:54,显示,121.4310276,24.9998292,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.3,"(24.999829199999997, 121.43102759999998)",,,
43070,全家便利商店(新莊超級店),新北市,新北市新莊區莊崑路２５號１樓,賣場與商店,3.0 Android 横屏5口,18,35,2020/12/10 17:53,显示,121.4316941,24.9993835,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3,"(24.9993835, 121.43169409999999)",,,
43065,全家便利商店(新莊迴龍店),新北市,新北市新莊區中正路８９５－２６號,賣場與商店,3.0 Android 横屏5口,90,112,2020/12/10 17:25,显示,121.4121451,25.0218627,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,3.4,"(25.021862699999996, 121.41214509999999)",,,
43055,全家便利商店(新莊金豐店),新北市,新北市新莊區豐年街66號,賣場與商店,3.0 Android 横屏5口,34,51,2020/12/10 17:15,显示,121.446379,25.031561,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,1.9,"(25.031561, 121.44637900000001)",,,
43053,全家便利商店(新莊中環店),新北市,新北市新莊區中和街１５５巷２號,賣場與商店,3.0 Android 横屏5口,85,131,2020/12/10 16:23,显示,121.447293,25.04994,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,1.9,"(25.04994, 121.44729299999999)",,,
43058,全家便利商店(新莊和運店),新北市,新北市新莊區中和街１７號,賣場與商店,3.0 Android 横屏5口,69,81,2020/12/10 16:22,显示,121.4480697,25.0435168,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,1.9,"(25.0435168, 121.44806969999999)",,,
43050,全家便利商店(新莊景德店),新北市,新北市新莊區景德路３８２號,賣場與商店,3.0 Android 横屏5口,43,71,2020/12/10 16:19,显示,121.44623,25.0335479,"00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59","00:00:00,23:59:59",,,,,2.8,"(25.0335479, 121.44623)",,,
